denisake,Tue, 31 Jan 2023 01:19:26 EET
Method,CogC,v(G)
com.socialnetwork.app.domain.validation.UserValidator.UserValidator(),0,1
com.socialnetwork.app.domain.validation.UserValidator.getInstance(),0,1
com.socialnetwork.app.domain.validation.UserValidator.validate(User),4,5
com.socialnetwork.app.exceptions.NetworkException.NetworkException(),0,1
com.socialnetwork.app.exceptions.NetworkException.NetworkException(String),0,1
"com.socialnetwork.app.exceptions.NetworkException.NetworkException(String, Throwable)",0,1
"com.socialnetwork.app.exceptions.NetworkException.NetworkException(String, Throwable, boolean, boolean)",0,1
com.socialnetwork.app.exceptions.NetworkException.NetworkException(Throwable),0,1
com.socialnetwork.app.exceptions.RepoException.RepoException(),0,1
com.socialnetwork.app.exceptions.RepoException.RepoException(String),0,1
"com.socialnetwork.app.exceptions.RepoException.RepoException(String, Throwable)",0,1
"com.socialnetwork.app.exceptions.RepoException.RepoException(String, Throwable, boolean, boolean)",0,1
com.socialnetwork.app.exceptions.RepoException.RepoException(Throwable),0,1
com.socialnetwork.app.exceptions.RepoException.getMessage(),0,1
com.socialnetwork.app.exceptions.ValidationException.ValidationException(),0,1
com.socialnetwork.app.exceptions.ValidationException.ValidationException(String),0,1
"com.socialnetwork.app.exceptions.ValidationException.ValidationException(String, Throwable)",0,1
"com.socialnetwork.app.exceptions.ValidationException.ValidationException(String, Throwable, boolean, boolean)",0,1
com.socialnetwork.app.exceptions.ValidationException.ValidationException(Throwable),0,1
com.socialnetwork.app.exceptions.ValidationException.getMessage(),0,1
com.socialnetwork.app.presentation.UI.UI(Service),0,1
com.socialnetwork.app.presentation.UI.add(),1,2
com.socialnetwork.app.presentation.UI.addFriendship(),4,5
com.socialnetwork.app.presentation.UI.friendList(),2,3
com.socialnetwork.app.presentation.UI.mostSociableCommunity(),1,2
com.socialnetwork.app.presentation.UI.numberOfCommunities(),0,1
com.socialnetwork.app.presentation.UI.remove(),2,3
com.socialnetwork.app.presentation.UI.removeFriendship(),2,3
com.socialnetwork.app.presentation.UI.run(),14,14
com.socialnetwork.app.presentation.UI.showFriendships(),1,2
com.socialnetwork.app.presentation.UI.showMenu(),0,1
com.socialnetwork.app.presentation.UI.showUsers(),1,2
com.socialnetwork.app.presentation.UI.update(),3,4
"com.socialnetwork.app.repository.AbstractRepo.AbstractRepo(String, String, String)",0,1
com.socialnetwork.app.repository.AbstractRepo.add(E),4,3
com.socialnetwork.app.repository.AbstractRepo.find(int),2,2
com.socialnetwork.app.repository.AbstractRepo.findElement(int),1,2
com.socialnetwork.app.repository.AbstractRepo.getAll(),0,1
com.socialnetwork.app.repository.AbstractRepo.getLastID(),3,3
com.socialnetwork.app.repository.AbstractRepo.loadData(),1,2
com.socialnetwork.app.repository.AbstractRepo.remove(E),2,3
com.socialnetwork.app.repository.AbstractRepo.remove(int),4,3
com.socialnetwork.app.repository.AbstractRepo.size(),0,1
com.socialnetwork.app.repository.AbstractRepo.storeData(),0,1
"com.socialnetwork.app.repository.FriendshipRepo.FriendshipRepo(String, String, String, UserRepo)",0,1
com.socialnetwork.app.repository.FriendshipRepo.acceptFriendshipInDB(Friendship),1,2
"com.socialnetwork.app.repository.FriendshipRepo.deleteEntity(Friendship, Connection)",0,1
com.socialnetwork.app.repository.FriendshipRepo.extractEntity(ResultSet),3,3
com.socialnetwork.app.repository.FriendshipRepo.extractEntity(String),1,2
com.socialnetwork.app.repository.FriendshipRepo.ps_getAll(Connection),0,1
com.socialnetwork.app.repository.FriendshipRepo.removeAllFriendshipsByUser(User),5,5
"com.socialnetwork.app.repository.FriendshipRepo.storeEntity(Friendship, Connection)",0,1
"com.socialnetwork.app.repository.FriendshipRepo.updateEntity(Friendship, Connection)",0,1
"com.socialnetwork.app.repository.MessageRepo.MessageRepo(String, String, String, UserRepo)",0,1
"com.socialnetwork.app.repository.MessageRepo.deleteEntity(Message, Connection)",0,1
com.socialnetwork.app.repository.MessageRepo.extractEntity(ResultSet),3,3
com.socialnetwork.app.repository.MessageRepo.extractEntity(String),0,1
com.socialnetwork.app.repository.MessageRepo.ps_getAll(Connection),0,1
"com.socialnetwork.app.repository.MessageRepo.storeEntity(Message, Connection)",0,1
com.socialnetwork.app.repository.Network.Network(List<Friendship>),0,1
"com.socialnetwork.app.repository.Network.addFriendship(User, User)",2,3
com.socialnetwork.app.repository.Network.addUserToNetwork(User),0,1
com.socialnetwork.app.repository.Network.createNetwork(List<Friendship>),1,2
"com.socialnetwork.app.repository.Network.dfs_util(int, int[], int)",4,3
com.socialnetwork.app.repository.Network.getCommunities(),6,4
com.socialnetwork.app.repository.Network.getCommunityIndexes(),3,3
com.socialnetwork.app.repository.Network.getNumberOfCommunities(),3,3
"com.socialnetwork.app.repository.Network.isThereFriendship(User, User)",3,3
"com.socialnetwork.app.repository.Network.longest_road(int, int[], int, AtomicInteger)",4,3
com.socialnetwork.app.repository.Network.maxNode(),1,2
com.socialnetwork.app.repository.Network.mostSociableCommunity(),6,4
"com.socialnetwork.app.repository.UserRepo.UserRepo(String, String, String)",0,1
"com.socialnetwork.app.repository.UserRepo.deleteEntity(User, Connection)",0,1
com.socialnetwork.app.repository.UserRepo.extractEntity(ResultSet),1,2
com.socialnetwork.app.repository.UserRepo.extractEntity(String),0,1
com.socialnetwork.app.repository.UserRepo.findUserByEmail(String),1,2
com.socialnetwork.app.repository.UserRepo.ps_getAll(Connection),0,1
"com.socialnetwork.app.repository.UserRepo.storeEntity(User, Connection)",2,3
com.socialnetwork.app.repository.UserRepo.update(User),1,2
"com.socialnetwork.app.repository.UserRepo.updateEntity(User, Connection)",0,1
"com.socialnetwork.app.service.AppService.AppService(UserRepo, FriendshipRepo, MessageRepo, Validator<User>, Validator<Friendship>)",0,1
"com.socialnetwork.app.service.AppService.add(String, String, String)",0,1
"com.socialnetwork.app.service.AppService.addFriendship(int, int)",2,2
"com.socialnetwork.app.service.AppService.addMessage(int, int, String)",0,1
com.socialnetwork.app.service.AppService.addObserver(Observer),0,1
com.socialnetwork.app.service.AppService.createNetwork(),0,1
com.socialnetwork.app.service.AppService.existPendingFriendship(Friendship),3,3
com.socialnetwork.app.service.AppService.findUserByEmail(String),0,1
com.socialnetwork.app.service.AppService.findUserById(int),2,2
com.socialnetwork.app.service.AppService.getAllFriendships(),0,1
